start	end	text
0	3480	מה קצר המלאכה מרובה? נאמר דבר תוראה לכבוד שבאי של פסח
3480	6280	מה קרה בשביל של פסח? בני עשרי הולכים במדבר
6280	10080	ואז ים סוף לבניהם, המצרים ופראו רודפים האחריהם
10080	13720	עוד לא עבור את הקורסים שסמץ תראה לב, ואם מתחיל לסמץ לבט
13720	16880	רואים למושה, מושה, כמה קורות חיים שאנחנו לא קיבלנו אף רעיון
16880	19160	זה גם מה שקיבלנו, אחד זה עד אחד לפרונטנד
19160	22840	היוש מתחיל להתגבר, בוא נכנס מהולג'וב נכתוב, אבל מה שמקדון על זה?
22840	26520	מה אנחנו צריכים את כל זה? ואז מה קורה? נחשון בני ענידה
26520	29400	וקופץ למהי? בוא נגיד שם נפתח
30160	33560	לא כזה פשוט מריב רבותיי, אם זה היה כזה פשוט, אם זה היה קל
33560	37400	סבכר על ממוצא לבוגר התואר, היה נמוך, אנחנו לא רוצים את זה
37400	42800	נסום האדם נכנס כנימה, והמהי מגיב לא עד נקן, מתי הכי ששוף מריב רבותיי?
42800	48280	מתי? מתנהלות הארגז, כמה כוח, כוח, כוח, אפשר לליש, לא, אה, לא, אה, לא
48280	54480	נסום האדם לא מביא יש, הוא מעיץ, ואז ברוך השם היה נקרא לשניים, ונסלזו אותו בחרבה
54480	57000	לא סתם ריבר מותק, כתוב, ספרים, מתגושים
57000	61040	רואו יח, מה שמקדונת, זה גימטריה, אני נחשון בן עמינדב
61040	66640	זה דרך עכשיו, כשסקל להיות מעיזהים, ונעשה ארגזים, וכי אני רצון, זה נאמר אמן, רבי חנניה
