start	end	text
0	3440	מה קצר המלאכה מרובה? נאמר דבר תוראה לכבוד של אי של פסח
3440	6240	מה קרה בשביל של פסח? בני עשרי הולכים במדבר
6240	10000	ואז ים סוף לבניהם, המצרים ופראו רודפים האחריהם
10000	13600	עוד לא עבור את הקורסים שסמץ תראה לב, ואם מתחיל לסמץ הרבה
13600	16800	רואים למושה, מושה, כמה קורות חיים שאנחנו לא קיבלנו אף רעיון
16800	19200	זה גם מה שקיבלנו, אחד זה עד אחד לפרונטנד
19200	24080	היוש מתחיל להתגבר, בוא ניכנס מהאול זו, בניחו, ואך מש מגדון על זה, מה אנחנו צריכים את כל זה
24080	27680	ואז מה קורה? נחשון בני עניידיו, קופץ למהי
27680	31680	בוא נגיד שם נפתח, לא כזה פשוט מראי ורבותיי
31680	35760	אם זה היה כזה פשוט, אם זה היה קל, שפחר על מרוצה לבוגר התואר, היה נמוך
35760	39200	לא רוצים את זה, נשום ידם נכנס כנימה
39200	42800	והמים הגיעים לא עד מכאן, מתי הכי ששוף מראי ורבותיי
42800	47120	מתי? לפני הלאות הארגז, כמה כוח, כוח, כוח, היו שאלי
47120	52880	לא, לא, לא, לא, לא, נשום ידם לא מבהיל שהוא מעיץ, ועד ברוך השם היה נקרא לשניים
52880	56880	ונסתר זו משהו בחרבה, לא שם ריבר מותק, כתובו שמרים ותבושים
56880	60880	רואו יח, מה שמגנונות, זה גימטריה, אני נחשון בין עמינדיו
60880	66480	וזה רע שם ששקל להיות מעיזהים, ונעשה הרגזים, ושני, רצון, ונאומר, המן רביח הנניה
66480	70480	לא מבחן, לא ימגע שאני נשאר משהו אחר, נרושם, אם למדתם מה סצליפים, בסדר?
74160	75280	זה כאילו הפי?
78080	79840	וזה כאילו הכיל
81360	82880	את מנהם הפי כאילו?
82880	86560	כן, פי כאילו כאילו, פי באחריה, אם פיו אותה האס
91200	93600	נסתר פה אומר משהו שהוא, אמרו חשוב
95600	102160	אז עכשיו תראה, מה עובר את השורה הראשונה, שני המטרום, למדנו והצלחנו
102160	106560	אז הפסוק הזה כולו הוא נכון, זה הפר, כמובן זאת לא נפנה את זה
108000	109120	תגיד את כולם
111120	112480	תגיד את כולם
112480	113520	תגיד את כולם
113520	114720	תגיד את כולם
114720	116880	תגיד את כולם, לא, אין נכון על הבית
116880	118880	או, כולם קוראים
118880	120960	למה זה?
120960	123680	יכול להיות נכון, אתם גם פה כאילו
123680	126720	לא נתקד, נשתם מה נעמדתי עליו
126720	127360	נכון
127360	130960	שורה שנייה
130960	134480	זה תרור וזה פרוץ
134480	137760	כלומר, למדנו ולא הצלחנו
137760	140480	אז זה נספק שאני עם מה שהבטחתי לכם
140480	142960	לא עמדתי במילה שלי, שקר
142960	146160	אמרתי לכם, שניים תגידו את השליחו, למדנו ולא הצלחת, תגידו אמנם
149440	152000	עכשיו, שני השורות השליחית והרבית
152000	155680	תחשבו על האמירה הזאת, שקירה בתחה שלי אליך
156960	160720	ועל הטרור, כאומר, אמנתי במה השליחה
161680	164960	זה שהפסוק, מלמדתם מה שהשליחו, תראו, זה לא שנקתל את זה
164960	167680	וזה אכן, עמדתי במילה שלי, במילה של מילה
