start	end	text
0	4160	היי מיכם, אפשר לשאול איך אתה משתף פעולה אם בכלל אני משתכה בכל נוגע להשקות
4160	5660	איך אני משתף איתך פעולה?
5660	10800	אני לא מת המון מעשרותים מהסרטונים ומהשאלות
10800	13700	אבל מיכם בטוח יודע יותר טוב עם העניין
13700	15460	אז אני די סומך את הלווקטה הזה
15460	16960	פעות, פעות גדולה
20560	25020	אין מה, אני לא מסתיר כלום, כשהיא תרצה לדעת יותר, היא תדעה יותר
25020	28020	ואתם יודעים, בסוף כל אחד ביתם לעניין שלו
28020	29400	אותי זה מאוד מעניין
29800	34100	אבל אני בטוח יודע יותר, היום אם אני ידעתי אי פעם על שוק האון
34100	36200	אז זה לגמרי בזכותו
37200	39100	תקשיבו לה, תשתפו את בני הזאת
39100	42900	אה, שזה גם דולק בבית כל הזמן, ואני אכם דבר על זה כל הזמן
42900	45700	והוא לומד וקורה ושומע כל הזמן, אז זה...
45700	47600	מה דולק, רגע, מה דולק?
47600	51900	הכל דולק, כל ההרוצים, כל ה-youtubeים, כל ה... באמת
51900	54200	ומה עם המוזיקה, גם זה דולק?
54200	57400	גם המוזיקה, גם המוזיקה, דווקא את כל המוהן, כן
57400	59400	אה, איש מוזד, איש מוזד
